"Trường","Kiểu","Mô tả"
"id","UUID (PK)","Định danh entry"
"title","TEXT","Tên gợi nhớ, ví dụ ""TikTok Account 3"""
"platform_type","ENUM","web, desktop_app, android_app, other — quyết định cơ chế autofill"
"platform_identifier","TEXT","Domain (web, VD: tiktok.com), tên process/window title (desktop, VD: notepad.exe), package name (Android, VD: com.zhiliaoapp.musically)"
"username_encrypted","BLOB","Username/email đã mã hóa AES-256-GCM"
"username_nonce","BLOB","Nonce riêng cho username"
"password_encrypted","BLOB","Password đã mã hóa AES-256-GCM"
"password_nonce","BLOB","Nonce riêng cho password"
"totp_secret_encrypted","BLOB, NULLABLE","Secret 2FA nếu có, cùng cơ chế mã hóa"
"url","TEXT, NULLABLE","URL đầy đủ nếu là web, dùng để match chính xác hơn domain"
"notes_encrypted","BLOB, NULLABLE","Ghi chú tùy chọn, cũng nên mã hóa vì có thể chứa thông tin nhạy cảm"
"tags","TEXT[]","Gắn nhãn để lọc, VD: [""tiktool"", ""automation"", ""test-account""]"
"favorite","BOOLEAN","Đánh dấu ưu tiên hiển thị"
"created_at / updated_at","TIMESTAMP","Theo dõi vòng đời"
"last_used_at","TIMESTAMP, NULLABLE","Phục vụ sắp xếp gợi ý autofill theo tần suất dùng"
